algo,obs_mode,seed,episodes,mean_reward,std_reward,mean_len,success_rate,completion_ratio,near_clear_rate,model_path,vecnorm_used
a2c,bool_power,0,100,-27.05340108955279,57.88180885921205,403.34,0.0,0.3996875,0.0,models\pacman_a2c_bool_power_seed0.zip,yes
a2c,bool_power,1,100,-16.423100793641062,54.20804530614987,463.31,0.0,0.42203125,0.0,models\pacman_a2c_bool_power_seed1.zip,yes
a2c,bool_power,2,100,-16.939500819034876,56.14765867514846,445.95,0.0,0.3846875,0.0,models\pacman_a2c_bool_power_seed2.zip,yes
a2c,coins_quadrants,0,100,-12.079501116964966,63.36424922913672,390.95,0.0,0.59421875,0.02,models\pacman_a2c_coins_quadrants_seed0.zip,yes
a2c,coins_quadrants,1,100,-31.96220140667632,60.255880135148345,344.22,0.0,0.510625,0.0,models\pacman_a2c_coins_quadrants_seed1.zip,yes
a2c,coins_quadrants,2,100,-2.1147009563446044,62.62789990379587,426.47,0.0,0.6546875,0.06,models\pacman_a2c_coins_quadrants_seed2.zip,yes
a2c,minimal,0,100,-10.505100579429417,51.32673886001678,491.51,0.0,0.3775,0.0,models\pacman_a2c_minimal_seed0.zip,yes
a2c,minimal,1,100,-9.695100652202964,53.49800176390047,485.51,0.0,0.37359375,0.0,models\pacman_a2c_minimal_seed1.zip,yes
a2c,minimal,2,100,-4.079500465486198,47.88330890804224,504.95,0.0,0.33390625,0.0,models\pacman_a2c_minimal_seed2.zip,yes
a2c,power_time,0,100,1.3690994454547762,57.44711707934192,474.09,0.0,0.45953125,0.0,models\pacman_a2c_power_time_seed0.zip,yes
a2c,power_time,1,100,3.565599459502846,54.0907466526835,509.44,0.0,0.468125,0.0,models\pacman_a2c_power_time_seed1.zip,yes
a2c,power_time,2,100,11.256299645211548,50.05469243846538,527.37,0.0,0.49578125,0.0,models\pacman_a2c_power_time_seed2.zip,yes
