algo,obs_mode,seed,episodes,mean_reward,std_reward,mean_len,success_rate,completion_ratio,near_clear_rate,model_path,vecnorm_used
ppo,bool_power,0,100,14.61490115435794,40.530171502142586,443.51,0.0,0.45375,0.0,models\pacman_ppo_bool_power_seed0.zip,yes
ppo,bool_power,1,100,12.202201252616941,42.59972886620264,416.78,0.0,0.45828125,0.0,models\pacman_ppo_bool_power_seed1.zip,yes
ppo,bool_power,2,100,12.779701288603246,44.651586586776865,407.28,0.0,0.47265625,0.0,models\pacman_ppo_bool_power_seed2.zip,yes
ppo,coins_quadrants,0,100,-10.04469855234027,35.602899189168355,350.47,0.0,0.336875,0.0,models\pacman_ppo_coins_quadrants_seed0.zip,yes
ppo,coins_quadrants,1,100,11.131501142270864,41.86655942777805,414.6,0.0,0.4209375,0.0,models\pacman_ppo_coins_quadrants_seed1.zip,yes
ppo,coins_quadrants,2,100,-2.782198627330363,41.12996515894603,339.97,0.0,0.37703125,0.0,models\pacman_ppo_coins_quadrants_seed2.zip,yes
ppo,minimal,0,100,24.94470098130405,37.672808019789436,507.28,0.0,0.4903125,0.0,models\pacman_ppo_minimal_seed0.zip,yes
ppo,minimal,1,100,-0.6565987253561616,38.834636081097905,381.91,0.0,0.36375,0.0,models\pacman_ppo_minimal_seed1.zip,yes
ppo,minimal,2,100,23.356601058188826,41.218203860486376,462.09,0.0,0.4925,0.0,models\pacman_ppo_minimal_seed2.zip,yes
a2c,bool_power,0,100,43.627500605043025,58.88931063059898,384.25,0.0,0.63234375,0.1,models\pacman_a2c_bool_power_seed0.zip,yes
a2c,bool_power,1,100,73.94870012240484,65.69356578704587,455.88,0.01,0.73515625,0.21,models\pacman_a2c_bool_power_seed1.zip,yes
a2c,bool_power,2,100,58.4237003332749,58.186409620915725,447.13,0.0,0.67390625,0.06,models\pacman_a2c_bool_power_seed2.zip,yes
a2c,coins_quadrants,0,100,31.325501364637166,53.61250897434833,403.7,0.0,0.6575,0.18,models\pacman_a2c_coins_quadrants_seed0.zip,yes
a2c,coins_quadrants,1,100,19.36960161363706,46.326990817294686,373.54,0.0,0.6259375,0.08,models\pacman_a2c_coins_quadrants_seed1.zip,yes
a2c,coins_quadrants,2,100,16.011201610919088,48.40999646841062,340.38,0.0,0.59515625,0.1,models\pacman_a2c_coins_quadrants_seed2.zip,yes
a2c,minimal,0,100,40.245701339971276,47.93729020958473,435.18,0.0,0.718125,0.16,models\pacman_a2c_minimal_seed0.zip,yes
a2c,minimal,1,100,8.917801684010774,46.528789373024004,291.72,0.0,0.5521875,0.07,models\pacman_a2c_minimal_seed1.zip,yes
a2c,minimal,2,100,27.790301372949035,52.70588756170361,385.97,0.0,0.62484375,0.13,models\pacman_a2c_minimal_seed2.zip,yes
a2c,power_time,0,100,45.208300465736535,52.11235722510827,388.17,0.0,0.61796875,0.04,models\pacman_a2c_power_time_seed0.zip,yes
a2c,power_time,1,100,54.374500399157405,61.34098662574457,404.55,0.0,0.6746875,0.19,models\pacman_a2c_power_time_seed1.zip,yes
a2c,power_time,2,100,47.81650049097836,57.557440359471414,382.35,0.0,0.641875,0.1,models\pacman_a2c_power_time_seed2.zip,yes
dqn,bool_power,0,100,66.33480011021719,60.06050094639365,408.52,0.0,0.72703125,0.21,models\pacman_dqn_bool_power_seed0.zip,yes
dqn,bool_power,1,100,44.55800055205822,57.12334494821235,316.95,0.0,0.63765625,0.11,models\pacman_dqn_bool_power_seed1.zip,yes
dqn,bool_power,2,100,48.1424003534019,60.352349670784676,323.01,0.0,0.6325,0.14,models\pacman_dqn_bool_power_seed2.zip,yes
dqn,coins_quadrants,0,100,-17.508598112910985,24.977890931561934,107.11,0.0,0.40421875,0.0,models\pacman_dqn_coins_quadrants_seed0.zip,yes
dqn,coins_quadrants,1,100,-22.022298145592213,25.97349577101119,109.98,0.0,0.359375,0.0,models\pacman_dqn_coins_quadrants_seed1.zip,yes
dqn,coins_quadrants,2,100,-19.694198104124517,25.16848048769872,111.92,0.0,0.38515625,0.0,models\pacman_dqn_coins_quadrants_seed2.zip,yes
dqn,minimal,0,100,44.16460134912282,61.93849664775651,376.04,0.01,0.7459375,0.41,models\pacman_dqn_minimal_seed0.zip,yes
dqn,minimal,1,100,15.912801736090332,45.220195972785305,291.97,0.0,0.63515625,0.2,models\pacman_dqn_minimal_seed1.zip,yes
dqn,minimal,2,100,-9.426498097628356,27.230717621764338,191.9,0.0,0.4684375,0.0,models\pacman_dqn_minimal_seed2.zip,yes
dqn,power_time,0,100,75.27410028694197,86.53700679011293,386.34,0.03,0.7628125,0.43,models\pacman_dqn_power_time_seed0.zip,yes
dqn,power_time,1,100,68.69440000742674,59.32577611822926,425.06,0.0,0.70140625,0.11,models\pacman_dqn_power_time_seed1.zip,yes
dqn,power_time,2,100,62.085600256435576,60.07878766155657,369.19,0.0,0.73734375,0.26,models\pacman_dqn_power_time_seed2.zip,yes
