algo,obs_mode,seed,episodes,mean_reward,std_reward,mean_len,success_rate,completion_ratio,near_clear_rate,model_path,vecnorm_used
ppo,bool_power,0,100,43.40949860261753,66.06339666419143,489.05,0.0,0.73359375,0.14,models\pacman_ppo_bool_power_seed0.zip,yes
ppo,bool_power,1,100,42.85409833578393,124.98462288628147,472.59,0.01,0.73640625,0.08,models\pacman_ppo_bool_power_seed1.zip,yes
ppo,bool_power,2,100,-2.76870187304914,69.43084778432193,375.87,0.0,0.59984375,0.06,models\pacman_ppo_bool_power_seed2.zip,yes
ppo,coins_quadrants,0,100,-39.67030127612874,55.59415701138995,360.03,0.0,0.33953125,0.0,models\pacman_ppo_coins_quadrants_seed0.zip,yes
ppo,coins_quadrants,1,100,-26.6674010037072,57.576446435856894,398.74,0.0,0.3565625,0.0,models\pacman_ppo_coins_quadrants_seed1.zip,yes
ppo,coins_quadrants,2,100,-22.893001040145755,57.205737969799465,410.3,0.0,0.42828125,0.0,models\pacman_ppo_coins_quadrants_seed2.zip,yes
ppo,minimal,0,100,13.249399307463317,61.738061042404695,471.06,0.0,0.7165625,0.12,models\pacman_ppo_minimal_seed0.zip,yes
ppo,minimal,1,100,-16.199701258055867,61.50351395579128,391.97,0.0,0.63078125,0.05,models\pacman_ppo_minimal_seed1.zip,yes
ppo,minimal,2,100,-5.436001036241651,65.36313730793802,404.6,0.0,0.66421875,0.19,models\pacman_ppo_minimal_seed2.zip,yes
ppo,power_time,0,100,32.252998237144205,72.47076536533996,468.7,0.0,0.6990625,0.08,models\pacman_ppo_power_time_seed0.zip,yes
ppo,power_time,1,100,10.238698033243418,73.5602441797931,407.13,0.0,0.60796875,0.06,models\pacman_ppo_power_time_seed1.zip,yes
ppo,power_time,2,100,-6.347001828122884,66.73792184241202,366.7,0.0,0.5675,0.06,models\pacman_ppo_power_time_seed2.zip,yes
